question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,,,considered,VBD,consider,what,medium,"['what', 'medium']",WDT,NN,Hamblen,NNP,PERSON,WORK_OF_ART
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,,,find,VB,find,where,on,"['where', 'on']",WRB,IN,I,PRP,,LOC
How much money does a back injury lawsuit get ?,,,get,VB,get,how,much,"['how', 'much']",WRB,JJ,money lawsuit,NN,,MONEY
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,,,find,VB,find,where,can,"['where', 'can']",WRB,MD,I list,NN,,LOC
Which two products use a tiger as their symbol ?,,,use,VBP,use,which,two,"['which', 'two']",WDT,CD,products,NNS,,PRODUCT
How long does it take for your blood to make one complete trip through the body ?,,,take,VB,take,how,long,"['how', 'long']",WRB,RB,it blood,NN,,TIME
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,,,joined,VBD,join,what,crooner,"['what', 'crooner']",WP,NN,crooner,NN,,PERSON
What piano company claims its product is the `` Instrument of the immortals '' ?,,,claims,VBZ,claim,what,piano,"['what', 'piano']",WDT,NN,company product,NN,,ORG
When did the Bounty mutiny take place ?,,,take,VB,take,when,do,"['when', 'do']",WRB,VBD,mutiny,NN,,DATE
What novel inspired the movie BladeRunner ?,,,inspired,VBD,inspire,what,novel,"['what', 'novel']",WP,NN,novel,NN,,WORK_OF_ART
What is a film starring Jude Law ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,film,NN,,WORK_OF_ART
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",,,cost,VB,cost,how,much,"['how', 'much']",WRB,JJ,it,PRP,,MONEY
What actress has received the most Oscar nominations ?,,,received,VBN,receive,what,actress,"['what', 'actress']",WDT,NN,actress,NN,,PERSON
How many years do fossils take to form ?,,,take,VB,take,how,many,"['how', 'many']",WRB,JJ,fossils,NNS,,CARDINAL
Where is the Orinoco ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,Orinoco,NNP,ORG,LOC
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",,,boasts,VBZ,boast,what,city,"['what', 'city']",WDT,NN,city,NN,,GPE
What Broadway musical was inspired by Cervantes 's Don Quixote ?,,,inspired,VBN,inspire,what,Broadway,"['what', 'Broadway']",WP,NNP,,,,WORK_OF_ART
How many hostages were killed in the Entebbe raid ?,,,killed,VBN,kill,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
Who produces Spumante ?,,,produces,VBZ,produce,who,produce,"['who', 'produce']",WP,VBZ,Who,WP,,ORG
Who earns their money the hard way ?,,,earns,VBZ,earn,who,earn,"['who', 'earn']",WP,VBZ,Who,WP,,PERSON
Who founded the People 's Temple Commune ?,,,founded,VBD,found,who,found,"['who', 'found']",WP,VBD,Who,WP,,PERSON
What athlete makes the most money from sports merchandise sales ?,,,makes,VBZ,make,what,athlete,"['what', 'athlete']",WDT,NN,athlete,NN,,PERSON
How many bends are there in a standard paper clip ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
Who discovered electricity ?,,,discovered,VBD,discover,who,discover,"['who', 'discover']",WP,VBD,Who,WP,,PERSON
Who was the first American in space ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
What two South American countries do n't border Brazil ?,,,border,VB,border,what,two,"['what', 'two']",WP,CD,countries,NNS,,GPE
What album put The Beatles on the cover of Time in 1967 ?,,,put,VBD,put,what,album,"['what', 'album']",WP,NN,album,NN,,WORK_OF_ART
"What poem contains the line , `` grow old with me the best is yet to be '' .",,,is,VBZ,be,what,poem,"['what', 'poem']",WDT,NN,poem best,JJS,,WORK_OF_ART
What war did the Wanna-Go-Home Riots occur after ?,,,occur,VBP,occur,what,war,"['what', 'war']",WDT,NN,Riots,NNS,,EVENT
What is the busiest air travel season ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,season,NN,,DATE
Where is the Rose Bowl played ?,,,played,VBD,play,where,be,"['where', 'be']",WRB,VBZ,Bowl,NNP,LAW,LOC
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,,,had,VBD,have,which,japanese,"['which', 'japanese']",WDT,JJ,maker,NN,,ORG
Who is the mayor of Marbella ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,PERSON
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",,,is,VBZ,be,what,sun,"['what', 'sun']",WP,NN,valley,NN,LOC,LOC
In what year did Thatcher become prime minister ?,,,become,VB,become,what,year,"['what', 'year']",WDT,NN,Thatcher,NNP,PERSON,DATE
How many months does it take the moon to revolve around the Earth ?,,,take,VB,take,how,many,"['how', 'many']",WRB,JJ,it,PRP,,CARDINAL
Where are the 49 steps ?,,,are,VBP,be,where,be,"['where', 'be']",WRB,VBP,steps,NNS,,LOC
In what year was De Gaulle elected president of France ?,,,was,VBD,be,what,year,"['what', 'year']",WDT,NN,,,,DATE
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,,,sings,VBZ,sing,who,sing,"['who', 'sing']",WP,VBZ,Who,WP,,PERSON
Who directed `` Jaws '' ?,,,directed,VBD,direct,who,direct,"['who', 'direct']",WP,VBD,Who,WP,,PERSON
On what T.V. show could Tom Terrific be found ?,,,found,VBN,find,what,T.V.,"['what', 'T.V.']",WP,NNP,,,,WORK_OF_ART
What Indian tribe is F Troop perpetually doing battle with ?,,,is,VBZ,be,what,indian,"['what', 'indian']",WP,JJ,tribe,NN,,ORG
How many colonies were involved in the American Revolution ?,,,involved,VBN,involve,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What is the name of the city that Maurizio Pellegrin lives in ?,,,is,VBZ,be,that,Maurizio,"['that', 'Maurizio']",WDT,NNP,name Pellegrin,NNP,PERSON,GPE
Where can I find pictorial directions on how to build a very simple treehouse ?,,,find,VB,find,how,to,"['how', 'to']",WRB,TO,I,PRP,,LOC
What is the name of the managing director of Apricot Computer ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,PERSON
What are the three winter months in the southern hemisphere ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,months,NNS,DATE,DATE
What country contains Africa 's northernmost point ?,,,contains,VBZ,contain,what,country,"['what', 'country']",WP,NN,country,NN,,GPE
Where is the Kalahari desert ?,,,is,VBZ,be,where,be,"['where', 'be']",WRB,VBZ,desert,NN,,LOC
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,,,seized,VBD,seize,which,Ventura,"['which', 'Ventura']",WDT,NNP,department,NN,,ORG
What city is sometimes called Gotham ?,,,called,VBN,call,what,city,"['what', 'city']",WDT,NN,,,,GPE
Who created Dennis the Menace ?,,,created,VBD,create,who,create,"['who', 'create']",WP,VBD,Who,WP,,PERSON
What dummy received an honorary degree from Northwestern University ?,,,received,VBD,receive,what,dummy,"['what', 'dummy']",WDT,NN,dummy,NN,,PERSON
When was the first Wall Street Journal published ?,,,published,VBD,publish,when,be,"['when', 'be']",WRB,VBD,Journal,NNP,ORG,DATE
What countries have the largest areas of forest ?,,,have,VBP,have,what,country,"['what', 'country']",WDT,NNS,countries,NNS,,GPE
Name Alvin 's brothers,,,brothers,NNS,brother,,,[],,,,,,PERSON
When did the royal wedding of Prince Andrew and Fergie take place ?,,,take,VBP,take,when,do,"['when', 'do']",WRB,VBD,wedding,NN,,DATE
What actor said in A Day at the Races : `` Either he 's dead or my watch has stopped '' ?,,,said,VBD,say,what,actor,"['what', 'actor']",WP,NN,actor he watch,NN,,PERSON
What explorer was nicknamed Iberia 's Pilot ?,,,nicknamed,VBN,nickname,what,explorer,"['what', 'explorer']",WP,NN,,,,PERSON
CNN began broadcasting in what year ?,,,began,VBD,begin,what,year,"['what', 'year']",WDT,NN,CNN,NNP,ORG,DATE
Which company created the Internet browser Mosaic ?,,,created,VBD,create,which,company,"['which', 'company']",WDT,NN,company,NN,,ORG
What are the rites accompanying the circumcision of a newly born-child in Judaism called ?,,,are,VBP,be,what,be,"['what', 'be']",WP,VBP,rites,NNS,,EVENT
What South American city has the world 's highest commercial landing field ?,,,has,VBZ,have,what,south,"['what', 'south']",WP,JJ,city,NN,,GPE
How many species of sharks are there ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
How many people are there in the world ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
What organization 's offices were broken into at Watergate in 1972 ?,,,broken,VBN,break,what,organization,"['what', 'organization']",WP,NN,,,,ORG
What is the acreage of the Chappellet vineyard ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,acreage,NN,,QUANTITY
When did beethoven die ?,,,die,VB,die,when,do,"['when', 'do']",WRB,VBD,beethoven,RB,,DATE
How much does a new railroad coal car cost ?,,,cost,NN,cost,how,much,"['how', 'much']",WRB,JJ,,,,MONEY
What two European countries entered the War of American Independence against the British ?,,,entered,VBD,enter,what,two,"['what', 'two']",WP,CD,countries,NNS,,GPE
What Russian composer 's Prelude in C Sharp Minor brought him fame and fortune ?,,,brought,VBD,bring,what,russian,"['what', 'russian']",WP,JJ,Prelude,VB,,PERSON
"Who was the mother of the man who would not be king , the duke of Windsor ?",,,was,VBD,be,who,would,"['who', 'would']",WP,MD,who,WP,,PERSON
How many revolutions does a standard LP make in three minutes ?,,,make,VB,make,how,many,"['how', 'many']",WRB,JJ,revolutions LP,NNP,ORG,CARDINAL
What is the name of the tallest mountain in the world ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,name,NN,,LOC
Where can I find a review of Nightmare on Elm Street in a film journal ?,,,find,VB,find,where,can,"['where', 'can']",WRB,MD,I,PRP,,ORDINAL
What was the name of the first Russian astronaut to do a spacewalk ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,name,NN,,PERSON
What rum is so `` mixable '' it is a one-brand bar ?,,,is,VBZ,be,what,rum,"['what', 'rum']",WDT,NN,rum,NN,,PRODUCT
How many South American countries have the letter Z in their names ?,,,have,VBP,have,how,many,"['how', 'many']",WRB,JJ,countries,NNS,,CARDINAL
Where was George Washington born ?,,,born,VBN,bear,where,be,"['where', 'be']",WRB,VBD,Washington,NNP,PERSON,GPE
"How many people on the ground were killed from the bombing of Pan Am Flight 103 over Lockerbie , Scotland , December 21 , CD .",,,killed,VBN,kill,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
When was the first steel mill in the United States built ?,,,built,VBD,build,when,be,"['when', 'be']",WRB,VBD,mill,NN,,DATE
What diminutive American female gymnast stole the show at the 1984 Olympics ?,,,stole,VBD,steal,what,diminutive,"['what', 'diminutive']",WDT,JJ,gymnast,NN,,PERSON
When did the Berlin Wall go up ?,,,go,VB,go,when,do,"['when', 'do']",WRB,VBD,Wall,NNP,FAC,DATE
What instrument is Ray Charles best known for playing ?,,,is,VBZ,be,what,instrument,"['what', 'instrument']",WDT,NN,,,,PRODUCT
"What Las Vegas hotel burned in November , 1980 , with the loss of 84 lives ?",,,burned,VBD,burn,what,Las,"['what', 'Las']",WP,NNP,hotel,NN,,FAC
When did Mount St. Helen last have a significant eruption ?,,,have,VBP,have,when,do,"['when', 'do']",WRB,VBD,Helen,NNP,PERSON,DATE
When did World War I start ?,,,start,VBP,start,when,do,"['when', 'do']",WRB,VBD,I,PRP,EVENT,DATE
How many feet are there in a fathom ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,,,,CARDINAL
What European city do Nicois live in ?,,,do,VBP,do,what,european,"['what', 'european']",WP,JJ,city,NN,,GPE
Who was President of Afghanistan in 1994 ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
What did brontosauruses eat ?,,,eat,VB,eat,what,do,"['what', 'do']",WP,VBD,brontosauruses,NNS,,PRODUCT
Who was the lead actress in the movie ` Sleepless in Seattle ' ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
Who was the 16th President of the United States ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
Who are the two sons of Ozzie and Harriet Nelson ?,,,are,VBP,be,who,be,"['who', 'be']",WP,VBP,,,,PERSON
When is Boxing Day ?,,,is,VBZ,be,when,be,"['when', 'be']",WRB,VBZ,Day,NNP,DATE,DATE
When was the battle of the Somme fought ?,,,fought,VBD,fight,when,be,"['when', 'be']",WRB,VBD,battle,NN,,DATE
How many people did Randy Craft kill ?,,,kill,VB,kill,how,many,"['how', 'many']",WRB,JJ,people,NNS,,CARDINAL
When did Spielberg direct `` Jaws '' ?,,,direct,JJ,direct,when,do,"['when', 'do']",WRB,VBD,Spielberg,NNP,PERSON,DATE
What is the size of the largest akita ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,size,NN,,QUANTITY
What is California 's capital ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,capital,NN,,GPE
Who was the author of the book about computer hackers called `` The Cuckoo 's Egg : Tracking a Spy Through the Maze of Computer Espionage '' ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
Who was the founding member of the Pink Floyd band ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
What European country is home to the beer-producing city of Budweis ?,,,is,VBZ,be,what,european,"['what', 'european']",WP,JJ,country,NN,,GPE
Where was Christopher Columbus born ?,,,born,VBN,bear,where,be,"['where', 'be']",WRB,VBD,Columbus,NNP,PERSON,GPE
What sea did the Romans call mare nostrum ?,,,call,VB,call,what,sea,"['what', 'sea']",WP,NN,Romans,NNPS,NORP,LOC
What city did the Flintstones live in ?,,,live,VB,live,what,city,"['what', 'city']",WDT,NN,Flintstones,NNPS,,GPE
What toy company is the world 's No.1 maker of female apparel ?,,,is,VBZ,be,what,toy,"['what', 'toy']",WP,NN,company,NN,,ORG
Which Doonesbury character was likely to turn into a werewolf ?,,,was,VBD,be,which,doonesbury,"['which', 'doonesbury']",WDT,JJ,character,NN,,PERSON
Who has won the most Super Bowls ?,,,won,VBN,win,who,have,"['who', 'have']",WP,VBZ,Who,WP,,ORG
What stadium do the Miami Dolphins play their home games in ?,,,play,VBP,play,what,stadium,"['what', 'stadium']",WDT,NN,stadium Dolphins,NNPS,GPE,FAC
Who has the only speaking role in `` Silent Movie '' ?,,,has,VBZ,have,who,have,"['who', 'have']",WP,VBZ,Who,WP,,PERSON
What was Einstein 's IQ ?,,,was,VBD,be,what,be,"['what', 'be']",WP,VBD,IQ,NN,,CARDINAL
What day was Pearl Harbor attacked in 1942 ?,,,attacked,VBD,attack,what,day,"['what', 'day']",WDT,NN,Harbor,NNP,PERSON,DATE
What girl 's name is `` Teddy '' an affectionate form of ?,,,is,VBZ,be,what,girl,"['what', 'girl']",WP,NN,name,NN,,PERSON
What state is John F. Kennedy buried in ?,,,is,VBZ,be,what,state,"['what', 'state']",WDT,NN,Kennedy,NNP,PERSON,GPE
What U.S. state has an element named for it ?,,,has,VBZ,have,what,U.S.,"['what', 'U.S.']",WP,NNP,state,NN,,GPE
What company tabulates the ballots in voting for the Academy Awards ?,,,tabulates,VBZ,tabulate,what,company,"['what', 'company']",WDT,NN,company,NN,,ORG
How many years ago did the ship Titanic sink ?,,,sink,NN,sink,how,many,"['how', 'many']",WRB,JJ,ship,NN,,CARDINAL
What is the deepest area of the Arctic Ocean ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,area,NN,,LOC
"What is the latitude and longitude of El Paso , Texas ?",,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,latitude,NN,,CARDINAL
Who made a boat out of gopher wood ?,,,made,VBD,make,who,make,"['who', 'make']",WP,VBD,Who,WP,,PERSON
Where can I find a `` Fifth Element '' screensaver ?,,,find,VB,find,where,can,"['where', 'can']",WRB,MD,I,PRP,,LOC
Which Bloom County resident wreaks havoc with a computer ?,,,wreaks,VBZ,wreak,which,Bloom,"['which', 'Bloom']",WDT,NNP,Which resident,NN,,PERSON
What is the normal resting heart rate of a healthy adult ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,rate,NN,,CARDINAL
What is the population of Ohio ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,population,NN,,CARDINAL
How many calories are there in a Big Mac ?,,,are,VBP,be,how,many,"['how', 'many']",WRB,JJ,calories,NNS,,CARDINAL
What part did John Peter Zenger play in the deveopment of the newspaper in America ?,,,play,VB,play,what,part,"['what', 'part']",WDT,NN,Zenger,NNP,PERSON,PERSON
Who followed Caesar ?,,,followed,VBD,follow,who,follow,"['who', 'follow']",WP,VBD,Who,WP,,PERSON
Who was the first woman golfer to earn a million ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who woman,NN,,PERSON
What is Answers.com 's address ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,address,NN,,GPE
Where can I buy movies on videotape online ?,,,buy,VB,buy,where,can,"['where', 'can']",WRB,MD,I,PRP,,LOC
Who does the advertizing for Frito-Lay ?,,,does,VBZ,do,who,do,"['who', 'do']",WP,VBZ,Who,WP,,PERSON
Who is the leading competitor of Trans Union Company ?,,,is,VBZ,be,who,be,"['who', 'be']",WP,VBZ,,,,ORG
What product did Robert Conrad dare people to knock off his shoulder ?,,,dare,VBP,dare,what,product,"['what', 'product']",WDT,NN,product Conrad,NNP,PERSON,PRODUCT
Who invented the radio ?,,,invented,VBD,invent,who,invent,"['who', 'invent']",WP,VBD,Who,WP,,PERSON
What 's the American dollar equivalent for 8 pounds in the U.K. ?,,,'s,VBZ,be,what,be,"['what', 'be']",WP,VBZ,dollar,NN,,MONEY
Who is the man behind the pig-the man who pulls the strings and speaks for Miss Piggy ?,,,is,VBZ,be,who,pull,"['who', 'pull']",WP,VBZ,man who,WP,,PERSON
What is the speed of the Mississippi River ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,speed,NN,,QUANTITY
What actor first portrayed James Bond ?,,,portrayed,VBD,portray,what,actor,"['what', 'actor']",WP,NN,actor,NN,,PERSON
What ocean is the largest in the world ?,,,is,VBZ,be,what,ocean,"['what', 'ocean']",WDT,NN,ocean,NN,,LOC
"Who was the first American poet to win the Nobel Prize for literature , in 1948 ?",,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,,,,PERSON
What year did Jack Nicklaus join the Professional Golfers Association tour ?,,,join,VB,join,what,year,"['what', 'year']",WDT,NN,Nicklaus,NNP,PERSON,DATE
How many sonnets did Shakespeare write ?,,,write,VB,write,how,many,"['how', 'many']",WRB,JJ,Shakespeare,NNP,PERSON,CARDINAL
Who won the Nobel Peace Prize in 1991 ?,,,won,VBD,win,who,win,"['who', 'win']",WP,VBD,Who,WP,,PERSON
Who are the Challengers of the Unknown ?,,,are,VBP,be,who,be,"['who', 'be']",WP,VBP,,,,ORG
Which city did Christian Crusaders fight to recapture from the Muslims ?,,,fight,VB,fight,which,city,"['which', 'city']",WDT,NN,city Crusaders,NNPS,PERSON,GPE
Who was the first coach of the Cleveland Browns ?,,,was,VBD,be,who,be,"['who', 'be']",WP,VBD,Who,WP,,PERSON
What Jewish holiday saw the start of the 1973 Mideast War ?,,,saw,VBD,see,what,jewish,"['what', 'jewish']",WP,JJ,holiday,NN,,EVENT
What is the speed of the Mississippi River ?,,,is,VBZ,be,what,be,"['what', 'be']",WP,VBZ,speed,NN,,QUANTITY
Who said of Super Bowl III in 1969 : `` We 'll win- I guarantee it '' ?,,,said,VBD,say,who,say,"['who', 'say']",WP,VBD,Who We,PRP,,PERSON
Who declared : `` I am down on whores and I shan 't stop ripping them '' ?,,,declared,VBD,declare,who,declare,"['who', 'declare']",WP,VBD,Who I,PRP,,PERSON
Where does chocolate come from ?,,,come,VB,come,where,do,"['where', 'do']",WRB,VBZ,chocolate,NN,,LOC
What TV game show once saw a contestant admit to picking his toes in the shower ?,,,saw,VBD,see,what,tv,"['what', 'tv']",WDT,NN,show contestant,JJ,,WORK_OF_ART
What Soviet leader owned a Rolls-Royce ?,,,owned,VBD,own,what,soviet,"['what', 'soviet']",WP,JJ,leader,NN,,PERSON
