question,q_word,q_pos,root,root_pos,root_lemma,wh_word,wh_head,wh_bigram,wh_pos,wh_head_pos,subj,subj_pos,subj_ner,label,o_label
What is the nature of learning ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,nature,NOUN,,DESC:definition,
What 's the only color Johnny Cash wears on stage ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,color Cash,PROPN,PERSON,ENTY:color,
What 's the term for a young fox ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,term,NOUN,,ENTY:term,
What U.S. state lived under six flags ?,,,lived,VBD,live,What,state,"['What', 'state']",WP,NOUN,state,NOUN,,LOC:state,LOC
What is the Kashmir issue ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,issue,NOUN,,DESC:definition,
Where is the Loop ?,,,is,VBZ,be,Where,is,"['Where', 'is']",WRB,AUX,Loop,PROPN,,LOC:other,LOC
What does `` extended definition '' mean and how would one write a paper on it ?,,,definition,NN,definition,What,does,"['What', 'does']",WP,AUX,,,,DESC:definition,
What country 's capital is Tirana ?,,,is,VBZ,be,What,country,"['What', 'country']",WP,NOUN,capital,NOUN,,LOC:country,LOC
What is titanium ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,,,,DESC:definition,
Who do Herb and Tootsie live next door to ?,,,live,VBP,live,Who,do,"['Who', 'do']",WP,AUX,Who Herb,PROPN,PERSON,HUM:identity,PERSON
Which city has the oldest relationship as a sister簙ity with Los Angeles ?,,,has,VBZ,have,Which,city,"['Which', 'city']",WDT,NOUN,city,NOUN,,LOC:city,LOC
What is a caldera ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What caldera,NOUN,,DESC:definition,
Why do people get calluses ?,,,get,VB,get,Why,do,"['Why', 'do']",WRB,AUX,people,NOUN,,DESC:reason,
What are the names of the tourist attractions in Reims ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,names,NOUN,,LOC:other,LOC
What are Cushman and Wakefield known for ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,Cushman,PROPN,PERSON,DESC:reason,
What body of water does the Danube River flow into ?,,,flow,NN,flow,What,body,"['What', 'body']",WDT,NOUN,River,PROPN,LOC,LOC:other,LOC
Who is the founder of Scientology ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,,,,HUM:identity,PERSON
What does the six-footed Musca domestica become when it enters a house ?,,,become,VBP,become,when,enters,"['when', 'enters']",WRB,VERB,domestica it,PRON,,ENTY:other,
What is the history of skateboarding ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,history,NOUN,,DESC:description,
Who starred in Singing in the Rain and The Singing Nun ?,,,starred,VBD,star,Who,starred,"['Who', 'starred']",WP,VERB,Who,PRON,,HUM:identity,PERSON
How do I make fuel bricks from recycled newspaper ?,,,make,VB,make,How,do,"['How', 'do']",WRB,AUX,I,PRON,,DESC:manner,
What 19th-century painter died in the Marquesas Islands ?,,,died,VBD,die,What,century,"['What', 'century']",WP,NOUN,painter,NOUN,,HUM:identity,PERSON
The corpus callosum is in what part of the body ?,,,is,VBZ,be,what,part,"['what', 'part']",WDT,NOUN,callosum,NOUN,,ENTY:body,
How do I log on to home page at Headquarters U.S. European Command ?,,,log,VB,log,How,do,"['How', 'do']",WRB,AUX,I,PRON,,DESC:manner,
"What country did the Nazis occupy for 1 , CD NNS IN NNP NNP NNP .",,,occupy,VB,occupy,What,country,"['What', 'country']",WP,NOUN,Nazis,PROPN,NORP,LOC:country,LOC
What is Nebraska 's most valuable resource ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,resource,NOUN,,ENTY:other,
How many species of the Great White shark are there ?,,,are,VBP,be,How,species,"['How', 'species']",WRB,NOUN,,,,NUM:count,QUANTITY
What is the origin of head lice ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,origin,NOUN,,DESC:description,
What is the nickname for the state of Mississippi ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,nickname,NOUN,,LOC:state,LOC
What was the first domesticated bird ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,bird,NOUN,,ENTY:animal,
How many villi are found in the small intestine ?,,,found,VBN,find,How,villi,"['How', 'villi']",WRB,NOUN,,,,NUM:count,QUANTITY
What country did King Wenceslas rule ?,,,did,VBD,do,What,country,"['What', 'country']",WP,NOUN,country,NOUN,,LOC:country,LOC
What is a fear of shadows ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What fear,NOUN,,ENTY:disease,
Who were the five Marx brothers ?,,,were,VBD,be,Who,were,"['Who', 'were']",WP,AUX,,,,HUM:identity,PERSON
In which year was New Zealand excluded from the ANZUS alliance ?,,,was,VBD,be,which,year,"['which', 'year']",WDT,NOUN,,,,NUM:date,DATE
When did CNN begin broadcasting ?,,,begin,VB,begin,When,did,"['When', 'did']",WRB,AUX,CNN,PROPN,ORG,NUM:date,DATE
What causes the body to shiver in cold temperatures ?,,,causes,VBZ,cause,What,causes,"['What', 'causes']",WP,VERB,What body,NOUN,,DESC:reason,
What are bear and bull markets ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,What,PRON,,DESC:definition,
What J.R.R. Tolkien book features Bilbo Baggins as the central character ?,,,features,VBZ,feature,What,book,"['What', 'book']",WP,NOUN,book,NOUN,,ENTY:creation,WORK_OF_ART
What is `` dew point '' ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,,,,DESC:definition,
What is the meaning of Jesus ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,meaning,NOUN,,DESC:definition,
What company 's logo is a `` W '' in a circle ?,,,is,VBZ,be,What,company,"['What', 'company']",WP,NOUN,logo,NOUN,,HUM:organization,ORG
What is the definition of a cascade ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,definition,NOUN,,DESC:definition,
When did Rococo painting and architecture flourish ?,,,flourish,NN,flourish,When,did,"['When', 'did']",WRB,AUX,painting,NOUN,,NUM:date,DATE
What country 's national passenger rail system is called Via ?,,,called,VBN,call,What,country,"['What', 'country']",WP,NOUN,,,,LOC:country,LOC
Who invented Make-up ?,,,invented,VBD,invent,Who,invented,"['Who', 'invented']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What is the origin of the word `` attic '' ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,origin,NOUN,,DESC:description,
What did Delilah do to Samson 's hair ?,,,do,VB,do,What,did,"['What', 'did']",WP,AUX,Delilah,PROPN,ORG,DESC:description,
What kind of animals were in the Paleozoic era ?,,,were,VBD,be,What,kind,"['What', 'kind']",WDT,NOUN,,,,ENTY:animal,
Which of the following was Rhodes Scholar ?,,,was,VBD,be,Which,following,"['Which', 'following']",WDT,VERB,Which,PRON,,HUM:identity,PERSON
Who comprised the now-defunct comic book team known as the Champions ?,,,comprised,VBD,comprise,Who,comprised,"['Who', 'comprised']",WP,VERB,Who,PRON,,HUM:identity,PERSON
How do you make a paintball ?,,,make,VB,make,How,do,"['How', 'do']",WRB,AUX,you,PRON,,DESC:manner,
What U.S. state is Fort Knox in ?,,,is,VBZ,be,What,state,"['What', 'state']",WP,NOUN,state,NOUN,,LOC:state,LOC
What is a female rabbit called ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,rabbit,NOUN,,ENTY:animal,
Where is the highest point in Japan ?,,,is,VBZ,be,Where,is,"['Where', 'is']",WRB,AUX,point,NOUN,,LOC:mountain,LOC
Where do chihuahuas come from ?,,,come,VB,come,Where,do,"['Where', 'do']",WRB,AUX,chihuahuas,PROPN,,DESC:description,
Where does Barney Rubble go to work after he drops Fred off in the `` Flintstones '' cartoon series ?,,,go,VB,go,Where,does,"['Where', 'does']",WRB,AUX,Rubble he,PRON,,LOC:other,LOC
What are the world 's four oceans ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,oceans,NOUN,,LOC:other,LOC
What 's the only work by Michelangelo that bears his signature ?,,,'s,VBZ,be,that,bears,"['that', 'bears']",WDT,VERB,What work that,PRON,,ENTY:creation,WORK_OF_ART
What is the largest snake in the world ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,snake,NOUN,,ENTY:animal,
In what medium is Stuart Hamblen considered to be the first singing cowboy ?,,,considered,VBD,consider,what,medium,"['what', 'medium']",WDT,NOUN,Hamblen,PROPN,PERSON,ENTY:creation,WORK_OF_ART
Where on the Internet can I find a song lyrics database similar to the International Lyrics Server ?,,,find,VB,find,Where,Internet,"['Where', 'Internet']",WRB,NOUN,I,PRON,,LOC:other,LOC
How much money does a back injury lawsuit get ?,,,get,VB,get,How,money,"['How', 'money']",WRB,NOUN,money lawsuit,NOUN,,NUM:money,MONEY
What 's the common name for acetylsalicylic acid ?,,,'s,VBZ,be,What,'s,"['What', ""'s""]",WP,AUX,name,NOUN,,ENTY:term,
What does the Georgetown `` Hoya '' mean ?,,,mean,VB,mean,What,does,"['What', 'does']",WP,AUX,Georgetown,PROPN,,DESC:definition,
Where can I find a list of `` classic '' books 5th and 6th graders should read ?,,,find,VB,find,Where,can,"['Where', 'can']",WRB,AUX,I list,NOUN,,LOC:other,LOC
Which two products use a tiger as their symbol ?,,,use,VBP,use,Which,products,"['Which', 'products']",WDT,NOUN,products,NOUN,,ENTY:product,PRODUCT
How is the election of a new Pope announced to the world ?,,,announced,VBD,announce,How,is,"['How', 'is']",WRB,AUX,election,NOUN,,DESC:manner,
How long does it take for your blood to make one complete trip through the body ?,,,take,VB,take,How,does,"['How', 'does']",WRB,AUX,it blood,NOUN,,NUM:period,TIME
How do chickens have baby chicks ?,,,have,VB,have,How,do,"['How', 'do']",WRB,AUX,chickens,NOUN,,DESC:manner,
What is the historical relationship of Catholic Church and bingo ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,relationship,NOUN,,DESC:description,
How was the element calcium named ?,,,named,VBN,name,How,was,"['How', 'was']",WRB,AUX,,,,DESC:manner,
What crooner joined The Andrews Sisters for Pistol Packin Mama ?,,,joined,VBD,join,What,crooner,"['What', 'crooner']",WP,NOUN,crooner,NOUN,,HUM:identity,PERSON
What piano company claims its product is the `` Instrument of the immortals '' ?,,,claims,VBZ,claim,What,piano,"['What', 'piano']",WDT,NOUN,company product,NOUN,,HUM:organization,ORG
When did the Bounty mutiny take place ?,,,take,VB,take,When,did,"['When', 'did']",WRB,AUX,mutiny,NOUN,,NUM:date,DATE
What novel inspired the movie BladeRunner ?,,,inspired,VBD,inspire,What,novel,"['What', 'novel']",WP,NOUN,novel,NOUN,,ENTY:creation,WORK_OF_ART
What is a transistor ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,transistor,NOUN,,DESC:definition,
What is a film starring Jude Law ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,film,NOUN,,ENTY:creation,WORK_OF_ART
What Hollywood dog died in the arms of Jean Harlow in 1932 ?,,,died,VBD,die,What,dog,"['What', 'dog']",WP,NOUN,dog,NOUN,,ENTY:animal,
What are the most common elements in the Earth 's crust ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,,,,ENTY:substance,
"How much would it cost to purchase a 2-foot-square party tent , with sides , ?",,,cost,VB,cost,How,would,"['How', 'would']",WRB,AUX,it,PRON,,NUM:money,MONEY
What actress has received the most Oscar nominations ?,,,received,VBN,receive,What,actress,"['What', 'actress']",WDT,NOUN,actress,NOUN,,HUM:identity,PERSON
What are equity securities ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,securities,NOUN,,DESC:definition,
What is gymnophobia ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,gymnophobia,PROPN,,DESC:definition,
How many years do fossils take to form ?,,,take,VB,take,How,years,"['How', 'years']",WRB,NOUN,fossils,NOUN,,NUM:count,QUANTITY
Where is the Orinoco ?,,,is,VBZ,be,Where,is,"['Where', 'is']",WRB,AUX,Orinoco,PROPN,ORG,LOC:other,LOC
What was the name of the `` Little Rascals '' dog ?,,,was,VBD,be,What,was,"['What', 'was']",WP,AUX,name,NOUN,,ENTY:animal,
"What city boasts Penn 's Landing , on the banks of the Delaware river ?",,,boasts,VBZ,boast,What,city,"['What', 'city']",WDT,NOUN,city,NOUN,,LOC:city,LOC
What Broadway musical was inspired by Cervantes 's Don Quixote ?,,,inspired,VBN,inspire,What,was,"['What', 'was']",WP,AUX,,,,ENTY:creation,WORK_OF_ART
"What is the origin of the word , JJ .",,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,origin,NOUN,,DESC:description,
How many hostages were killed in the Entebbe raid ?,,,killed,VBN,kill,How,hostages,"['How', 'hostages']",WRB,NOUN,,,,NUM:count,QUANTITY
How you can raise your IQ ?,,,raise,VB,raise,How,can,"['How', 'can']",WRB,AUX,you,PRON,,DESC:manner,
What does INRI stand for when used on Jesus ' cross ?,,,stand,VB,stand,when,used,"['when', 'used']",WRB,VERB,INRI,PROPN,ORG,ABBR:explanation,
Who produces Spumante ?,,,produces,VBZ,produce,Who,produces,"['Who', 'produces']",WP,VERB,Who,PRON,,HUM:organization,ORG
Who earns their money the hard way ?,,,earns,VBZ,earn,Who,earns,"['Who', 'earns']",WP,VERB,Who,PRON,,HUM:identity,PERSON
Who founded the People 's Temple Commune ?,,,founded,VBD,found,Who,founded,"['Who', 'founded']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What athlete makes the most money from sports merchandise sales ?,,,makes,VBZ,make,What,athlete,"['What', 'athlete']",WDT,NOUN,athlete,NOUN,,HUM:identity,PERSON
How many bends are there in a standard paper clip ?,,,are,VBP,be,How,bends,"['How', 'bends']",WRB,NOUN,,,,NUM:count,QUANTITY
Who discovered electricity ?,,,discovered,VBD,discover,Who,discovered,"['Who', 'discovered']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What part of your body contains the corpus callosum ?,,,contains,VBZ,contain,What,part,"['What', 'part']",WDT,NOUN,part,NOUN,,ENTY:body,
Who was the first American in space ?,,,was,VBD,be,Who,was,"['Who', 'was']",WP,AUX,,,,HUM:identity,PERSON
What two South American countries do n't border Brazil ?,,,border,VB,border,What,countries,"['What', 'countries']",WP,NOUN,countries,NOUN,,LOC:country,LOC
What album put The Beatles on the cover of Time in 1967 ?,,,put,VBD,put,What,album,"['What', 'album']",WP,NOUN,album,NOUN,,ENTY:creation,WORK_OF_ART
"What poem contains the line , `` grow old with me the best is yet to be '' .",,,is,VBZ,be,What,poem,"['What', 'poem']",WDT,NOUN,poem best,ADJ,,ENTY:creation,WORK_OF_ART
What is a dental root canal ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,What canal,NOUN,,DESC:definition,
What war did the Wanna-Go-Home Riots occur after ?,,,occur,VBP,occur,What,war,"['What', 'war']",WDT,NOUN,Riots,NOUN,,ENTY:event,EVENT
What is the busiest air travel season ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,season,NOUN,,NUM:date,DATE
What 's the colored part of the eye called ?,,,called,VBN,call,What,'s,"['What', ""'s""]",WP,AUX,part,NOUN,,ENTY:body,
What are hook worms ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,,,,DESC:definition,
Where is the Rose Bowl played ?,,,played,VBD,play,Where,is,"['Where', 'is']",WRB,AUX,Bowl,PROPN,LAW,LOC:other,LOC
Which Japanese car maker had its biggest percentage of sale in the domestic market ?,,,had,VBD,have,Which,car,"['Which', 'car']",WDT,NOUN,maker,NOUN,,HUM:organization,ORG
Who is the mayor of Marbella ?,,,is,VBZ,be,Who,is,"['Who', 'is']",WP,AUX,,,,HUM:identity,PERSON
"What sun-blasted , 14-mile wide valley is just north of the Mojave desert ?",,,is,VBZ,be,What,sun,"['What', 'sun']",WP,NOUN,valley,NOUN,LOC,LOC:other,LOC
In what year did Thatcher become prime minister ?,,,become,VB,become,what,year,"['what', 'year']",WDT,NOUN,Thatcher,PROPN,PERSON,NUM:date,DATE
How many months does it take the moon to revolve around the Earth ?,,,take,VB,take,How,months,"['How', 'months']",WRB,NOUN,it,PRON,,NUM:count,QUANTITY
Where are the 49 steps ?,,,are,VBP,be,Where,are,"['Where', 'are']",WRB,AUX,steps,NOUN,,LOC:other,LOC
In what year was De Gaulle elected president of France ?,,,was,VBD,be,what,year,"['what', 'year']",WDT,NOUN,,,,NUM:date,DATE
Who sings the themes for `` Dawson 's Creek '' and `` Felicity '' ?,,,sings,VBZ,sing,Who,sings,"['Who', 'sings']",WP,VERB,Who,PRON,,HUM:identity,PERSON
Who directed `` Jaws '' ?,,,directed,VBD,direct,Who,directed,"['Who', 'directed']",WP,VERB,Who,PRON,,HUM:identity,PERSON
On what T.V. show could Tom Terrific be found ?,,,found,VBN,find,what,show,"['what', 'show']",WP,NOUN,,,,ENTY:creation,WORK_OF_ART
What Indian tribe is F Troop perpetually doing battle with ?,,,is,VBZ,be,What,tribe,"['What', 'tribe']",WP,NOUN,tribe,NOUN,,HUM:organization,ORG
Where did Indian Pudding come from ?,,,come,VB,come,Where,did,"['Where', 'did']",WRB,AUX,Pudding,PROPN,,DESC:description,
Why do some clothing labels say `` Use a nonchlorine bleach '' ?,,,say,VBP,say,Why,do,"['Why', 'do']",WRB,AUX,labels,NOUN,,DESC:reason,
How many colonies were involved in the American Revolution ?,,,involved,VBN,involve,How,colonies,"['How', 'colonies']",WRB,NOUN,,,,NUM:count,QUANTITY
What is the name of the city that Maurizio Pellegrin lives in ?,,,is,VBZ,be,that,lives,"['that', 'lives']",WDT,VERB,name Pellegrin,PROPN,PERSON,LOC:city,LOC
Where can I find pictorial directions on how to build a very simple treehouse ?,,,find,VB,find,how,build,"['how', 'build']",WRB,VERB,I,PRON,,LOC:other,LOC
"What game 's board shows the territories of Irkutsk , Yakutsk and Kamchatka ?",,,shows,VBZ,show,What,game,"['What', 'game']",WP,NOUN,board,NOUN,,ENTY:sport,
What is the name of the managing director of Apricot Computer ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,name,NOUN,,HUM:identity,PERSON
What is the occupation of Nicholas Cage ?,,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,occupation,NOUN,,HUM:title,
Why do horseshoes bring luck ?,,,bring,VB,bring,Why,do,"['Why', 'do']",WRB,AUX,horseshoes,NOUN,,DESC:reason,
"What is the 401 , K , plan ?",,,is,VBZ,be,What,is,"['What', 'is']",WP,AUX,401 plan,NOUN,,DESC:definition,
What causes pneumonia ?,,,causes,VBZ,cause,What,causes,"['What', 'causes']",WP,VERB,What,PRON,,DESC:reason,
What are the three winter months in the southern hemisphere ?,,,are,VBP,be,What,are,"['What', 'are']",WP,AUX,months,NOUN,DATE,NUM:date,DATE
What does gringo mean ?,,,mean,VB,mean,What,does,"['What', 'does']",WP,AUX,gringo,NOUN,,DESC:definition,
What country contains Africa 's northernmost point ?,,,contains,VBZ,contain,What,country,"['What', 'country']",WP,NOUN,country,NOUN,,LOC:country,LOC
What therapy attempts to elicit the `` primal scream '' ?,,,attempts,VBZ,attempt,What,therapy,"['What', 'therapy']",WP,NOUN,therapy,NOUN,,ENTY:disease,
Where is the Kalahari desert ?,,,is,VBZ,be,Where,is,"['Where', 'is']",WRB,AUX,desert,NOUN,,LOC:other,LOC
Which Ventura County police department seized the largest cocaine shipment in it 's history ?,,,seized,VBD,seize,Which,police,"['Which', 'police']",WDT,NOUN,department,NOUN,,HUM:organization,ORG
What city is sometimes called Gotham ?,,,called,VBN,call,What,city,"['What', 'city']",WDT,NOUN,,,,LOC:city,LOC
What dangles over the tongue from the palate ?,,,dangles,NNS,dangle,What,dangles,"['What', 'dangles']",WP,NOUN,,,,ENTY:body,
Who created Dennis the Menace ?,,,created,VBD,create,Who,created,"['Who', 'created']",WP,VERB,Who,PRON,,HUM:identity,PERSON
What dummy received an honorary degree from Northwestern University ?,,,received,VBD,receive,What,dummy,"['What', 'dummy']",WDT,NOUN,dummy,NOUN,,HUM:identity,PERSON
When was the first Wall Street Journal published ?,,,published,VBD,publish,When,was,"['When', 'was']",WRB,AUX,Journal,PROPN,ORG,NUM:date,DATE
